date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:10	7285/7285	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ee42aa163576f8f5640d21832429af4b%22	https://findrealestate.com/_next/static/chunks/5697-0a3cbad00af0547a.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/5697-0a3cbad00af0547aaae6.js	(from https://findrealestate.com/)
14:53:11	54714/54714	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e3a4c23ca95bcf7aa16faf54f668ba99%22	https://findrealestate.com/_next/static/chunks/5564-c4c75197f7dac3be.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/5564-c4c75197f7dac3beaae6.js	(from https://findrealestate.com/)
14:53:12	147448/147448	---MCZ	200	added ('OK')	application/javascript	etag:W/%226091b295dc41909d800d31b419b1a07c%22	https://findrealestate.com/_next/static/chunks/4634-dc6390082a22d3dc.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/4634-dc6390082a22d3dcaae6.js	(from https://findrealestate.com/)
14:53:13	7813/7813	---MCZ	200	added ('OK')	application/javascript	etag:W/%22aec3d2e21d9c59ec096a2e62a56ad1cd%22	https://findrealestate.com/_next/static/chunks/2619-b8db57ac19da49ac.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/2619-b8db57ac19da49acaae6.js	(from https://findrealestate.com/)
14:53:14	7017/7017	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cdf00f7f249801f3e6d5b52e7bf81dca%22	https://findrealestate.com/_next/static/chunks/1912-abfb749a7d02dd70.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/1912-abfb749a7d02dd70aae6.js	(from https://findrealestate.com/)
14:53:15	22300/22300	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c564c248d76f48e2e1f951d9b4b63a71%22	https://findrealestate.com/_next/static/chunks/6348-da34bed15522b681.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/6348-da34bed15522b681aae6.js	(from https://findrealestate.com/)
14:53:16	10525/10525	---MCZ	200	added ('OK')	application/javascript	etag:W/%228d1957126f23f72c5e954f339f5454c9%22	https://findrealestate.com/_next/static/chunks/136-9436d7da81d7857f.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/136-9436d7da81d7857faae6.js	(from https://findrealestate.com/)
14:53:17	17403/17403	---MCZ	200	added ('OK')	application/javascript	etag:W/%222c9c9ee081bf2398df00e31ca284e3b9%22	https://findrealestate.com/_next/static/chunks/8766-00c027ca1bf55e89.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/8766-00c027ca1bf55e89aae6.js	(from https://findrealestate.com/)
14:53:18	36523/36523	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ac2ae8aa007b71713da8caac0eaf7045%22	https://findrealestate.com/_next/static/chunks/3889-d5954c19244d425c.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/3889-d5954c19244d425caae6.js	(from https://findrealestate.com/)
14:53:18	4981/4981	---MCZ	200	added ('OK')	application/javascript	etag:W/%227abccedb76d75d1483649a183a2a05f8%22	https://findrealestate.com/_next/static/chunks/app/error-2f42de63e72b2164.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/app/error-2f42de63e72b2164aae6.js	(from https://findrealestate.com/)
14:53:19	2447/2447	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fe6b8258243fc9fed7eafb9720a4db80%22	https://findrealestate.com/_next/static/chunks/app/(home)/layout-b11503399b004862.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/app/(home)/layout-b11503399b004862aae6.js	(from https://findrealestate.com/)
